Quantity,Order Qty,Pack Size,Leftover,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N,Unit Price,Line Total
2,2,,,HW-C2-BB-DCLBB-A,HW-C2-DCLBB-A,,HW-C2-DCLBB-A,sendcutsend,HW-C2-DCLBB-A,45.1200,90.24
4,4,,,HW-C2-BB-PBB-A,HW-C2-PBB-A,,HW-C2-PBB-A,sendcutsend,HW-C2-PBB-A,17.0300,68.12
6,6,,,HW-C2-MECH-1821A55-A,1821A55,,1821A55,mcmaster,1821A55,,
13,1,100,87,HW-C2-MECH-90128A232-A,90128A232,,90128A232,mcmaster,90128A232,10.5500,10.55
10,1,50,40,HW-C2-MECH-90225A102-A,90225A102,,90225A102,mcmaster,90225A102,12.8000,12.80
27,1,50,23,HW-C2-MECH-91292A134-A,91292A134,,91292A134,mcmaster,91292A134,11.7200,11.72
9,1,50,41,HW-C2-MECH-91294A220-A,91294A220,,91294A220,mcmaster,91294A220,12.7400,12.74
6,6,,,HW-C2-MECH-91458A112-A,91458A112,,91458A112,mcmaster,91458A112,,
11,1,25,14,HW-C2-MECH-91502A180-A,91502A180,,91502A180,mcmaster,91502A180,19.6500,19.65
7,1,10,3,HW-C2-MECH-91502A183-A,91502A183,,91502A183,mcmaster,91502A183,17.2700,17.27
7,7,,,HW-C2-MECH-94669A190-A,94669A190,,94669A190,mcmaster,94669A190,1.3900,9.73
7,7,,,HW-C2-MECH-94669A196-A,94669A196,,94669A196,mcmaster,94669A196,2.9600,20.72
7,7,,,HW-C2-MECH-94669A199-A,94669A199,,94669A199,mcmaster,94669A199,3.1000,21.70
7,7,,,HW-C2-MECH-94669A202-A,94669A202,,94669A202,mcmaster,94669A202,3.2200,22.54
38,2,25,12,HW-C2-MECH-98044A224-A,98044A224,,98044A224,mcmaster,98044A224,14.8800,29.76
1,1,,,HW-C2-HW-3M156058-ND-A,3M156058-ND,,3M156058-ND,digikey,3M156058-ND,46.9800,46.98
3,3,,,HW-C2-HW-CM600DY-24T-A,CM600DY-24T,,CM600DY-24T,mouser,CM600DY-24T,323.5000,970.50
6,6,,,HW-C2-HW-DC-LINK-MODULE-HOLDER-A,DC Link Module Holder - 200V Class,,DC Link Module Holder - 200V Class,sendcutsend,DC Link Module Holder - 200V Class,,
6,6,,,HW-C2-HW-DC-LINK-MODULE-HOLDER-A,DC Link Module Holder - 250-450V Class,,DC Link Module Holder - 250-450V Class,sendcutsend,DC Link Module Holder - 250-450V Class,,
1,1,,,HW-C2-PLT-BSP-A,HW-C2-BSP-A,,HW-C2-BSP-A,sendcutsend,HW-C2-BSP-A,144.4600,144.46
2,2,,,HW-C2-PLT-CHSP-A,HW-C2-CHSP-A,,HW-C2-CHSP-A,sendcutsend,HW-C2-CHSP-A,24.6700,49.34
