Quantity,Order Qty,Pack Size,Leftover,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N,Unit Price,Line Total
2,2,,,HW-C2-BB-DCLBB-A,HW-C2-DCLBB-A,,HW-C2-DCLBB-A,sendcutsend,HW-C2-DCLBB-A,45.1200,90.24
3,3,,,HW-C2-BB-PBB-A,HW-C2-PBB-A,,HW-C2-PBB-A,sendcutsend,HW-C2-PBB-A,17.0300,51.09
3,3,,,HW-C2-MECH-1821A55-A,1821A55,,1821A55,mcmaster,1821A55,,
10,1,100,90,HW-C2-MECH-90128A232-A,90128A232,,90128A232,mcmaster,90128A232,10.5500,10.55
7,1,50,43,HW-C2-MECH-90225A102-A,90225A102,,90225A102,mcmaster,90225A102,12.8000,12.80
23,1,50,27,HW-C2-MECH-91292A134-A,91292A134,,91292A134,mcmaster,91292A134,11.7200,11.72
6,1,50,44,HW-C2-MECH-91294A220-A,91294A220,,91294A220,mcmaster,91294A220,12.7400,12.74
3,3,,,HW-C2-MECH-91458A112-A,91458A112,,91458A112,mcmaster,91458A112,,
8,1,25,17,HW-C2-MECH-91502A180-A,91502A180,,91502A180,mcmaster,91502A180,19.6500,19.65
6,1,10,4,HW-C2-MECH-91502A183-A,91502A183,,91502A183,mcmaster,91502A183,17.2700,17.27
6,6,,,HW-C2-MECH-94669A190-A,94669A190,,94669A190,mcmaster,94669A190,1.3900,8.34
6,6,,,HW-C2-MECH-94669A196-A,94669A196,,94669A196,mcmaster,94669A196,2.9600,17.76
6,6,,,HW-C2-MECH-94669A199-A,94669A199,,94669A199,mcmaster,94669A199,3.1000,18.60
6,6,,,HW-C2-MECH-94669A202-A,94669A202,,94669A202,mcmaster,94669A202,3.2200,19.32
32,2,25,18,HW-C2-MECH-98044A224-A,98044A224,,98044A224,mcmaster,98044A224,14.8800,29.76
1,1,,,HW-C2-HW-3M156058-ND-A,3M156058-ND,,3M156058-ND,digikey,3M156058-ND,46.9800,46.98
3,3,,,HW-C2-HW-CM600DY-24T-A,CM600DY-24T,,CM600DY-24T,mouser,CM600DY-24T,323.5000,970.50
3,3,,,HW-C2-HW-DC-LINK-MODULE-HOLDER-A,DC Link Module Holder - 200V Class,,DC Link Module Holder - 200V Class,sendcutsend,DC Link Module Holder - 200V Class,,
3,3,,,HW-C2-HW-DC-LINK-MODULE-HOLDER-A,DC Link Module Holder - 250-450V Class,,DC Link Module Holder - 250-450V Class,sendcutsend,DC Link Module Holder - 250-450V Class,,
1,1,,,HW-C2-PLT-BSP-A,HW-C2-BSP-A,,HW-C2-BSP-A,sendcutsend,HW-C2-BSP-A,144.4600,144.46
1,1,,,HW-C2-PLT-CHSP-A,HW-C2-CHSP-A,,HW-C2-CHSP-A,sendcutsend,HW-C2-CHSP-A,24.6700,24.67
