"Designator","Designation","Footprint","Quantity","DNP","Exclude from BOM"
"C42,C43,C47,C48,C49","UCM1H101MCL1GS","InverterCom:CAPAE660X800N","5","",""
"C188,C189","100nF","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","2","",""
"D3,D4","S3N","InverterCom:DIOM8059X265N","2","",""
"F1","MF-RHT200_32-2","InverterCom:MFRHT200322","1","",""
"H1,H2,H3,H4,H5,H6,H7,H8","971250581","InverterCom:971250581","8","",""
"IC10","DRDNB21D-7","InverterCom:SOT65P210X110-6N","1","",""
"J1","UJ2-B-HR-G-V","InverterCom:UJ2BHRGV","1","",""
"J2","SSW-104-01-L-D","InverterCom:SSW-104-01-L-D","1","",""
"J6","776231-1","InverterCom:7762311","1","",""
"J7,J12","TSW-108-18-F-D","InverterCom:TSW-108-18-F-D","2","",""
"J10,J13","TSW-103-18-G-D","InverterCom:TSW-103-18-G-D","2","",""
"J14","TSW-110-18-T-D","InverterCom:TSW-110-18-T-D","1","",""
"K1,K2","AWHSH105D00G","InverterCom:AWHSH105D00G","2","",""
"PS3","EC7BW-110S12","InverterCom:EC7BW110S12","1","",""
"U6","BTS462TATMA1","Package_TO_SOT_SMD:TO-252-4","1","",""
